productId,sku,productCode,productName,category,sourceArchive,sourcePath,sourceChecksum,targetFilename,mappingMethod,confidence,status,notes
"cmrnl000a00hutaecfobugrgp","DIS-000039","PC100","Birthday cap small","Disposables","stitch_eagle_mart_product_catalogue_images.zip","stitch_eagle_mart_product_catalogue_images/premium_supermarket_catalogue_photography_of_a_small_festive_birthday_cap/screen.png","0a444997f6f0240f1437b7f73d06bd0e30774435c412d666fcf6826c6e86cae8","dis-000039-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","strong product name coverage; token overlap; confidence below threshold"
"cmrnl07ue031mtaeciizslc70","FOO-000749","PC100","Mineral water 1 ltr","Food Items","stitch_eagle_mart_product_catalogue_images.zip","stitch_eagle_mart_product_catalogue_images/premium_supermarket_catalogue_photography_of_bisleri_1l_water_bottle/screen.png","6160cfcf4e0be6714edc81fa9603317c3c07cfac76cd432c4a67b1f080223b90","foo-000749-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","quantity match; token overlap; confidence below threshold"
"cmrnl003o00iytaeckyxi4n5a","FOO-000531","PC100","Black salt 100gm","Food Items","stitch_eagle_mart_product_catalogue_images.zip","stitch_eagle_mart_product_catalogue_images/premium_supermarket_catalogue_photography_of_black_salt_100gm_sprinkler/screen.png","059259915817cd6db768b16a61b3871f99d700e37b70ff9d7f11169c26b71d06","foo-000531-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","strong product name coverage; quantity match; strong token overlap"
"cmrnkzzu600gataec96vzuz7z","FOO-000522","PC100","Besan Pakoda 200gm","Food Items","stitch_eagle_mart_product_catalogue_images.zip","stitch_eagle_mart_product_catalogue_images/premium_supermarket_catalogue_photography_of_besan_pakoda_200gm_mix_pouch/screen.png","315522e0e41b616caf661336aff4d38d554a0cc77e7ce7ac26af807514365955","foo-000522-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","strong product name coverage; quantity match; strong token overlap"
"cmrnl002y00iqtaecfkwg59go","FOO-000530","PC100","Black channa 500gm","Food Items","stitch_eagle_mart_product_catalogue_images.zip","stitch_eagle_mart_product_catalogue_images/premium_supermarket_catalogue_photography_of_black_channa_500gm_transparent/screen.png","c2c72c621ee9acb45fbb1d95aa8d433f63fad07a6e11efb0668eccc74484727e","foo-000530-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","strong product name coverage; quantity match; strong token overlap"
"cmrnl005200jetaecp2sdrwx4","FOO-000533","PC100","Bonn CLASSIC BOURBON CREAM","Food Items","stitch_eagle_mart_product_catalogue_images.zip","stitch_eagle_mart_product_catalogue_images/premium_supermarket_catalogue_photography_of_bonn_classic_bourbon_cream_biscuit/screen.png","f03ba7f383dcf1db670310d5eedcdf057d5e0d98ee00c0c01d8c165e08827ad0","foo-000533-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","brand match; strong product name coverage; strong token overlap"
"cmrnl003o00iytaeckyxi4n5a","FOO-000531","PC100","Black salt 100gm","Food Items","stitch_eagle_mart_product_catalogue_images.zip","stitch_eagle_mart_product_catalogue_images/premium_supermarket_catalogue_photography_of_black_til_black_sesame_seeds_100g/screen.png","12393598cc87b70cb9fa22277a9ae7cd3b76a6adad52de0e5481973bd54d4284","foo-000531-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","quantity match; strong token overlap; confidence below threshold"
"cmrnl007z00kataect9jb08mo","FOO-000535","PC100","Bourn vita 750gm","Food Items","stitch_eagle_mart_product_catalogue_images.zip","stitch_eagle_mart_product_catalogue_images/premium_supermarket_catalogue_photography_of_bournvita_750g_plastic_jar/screen.png","235cf74dcb443c222d2bdb493e05a586cf67ebcfc15eec454dbf3bc6869aa202","foo-000535-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","quantity match; token overlap; confidence below threshold"
"cmrnkzzu600gataec96vzuz7z","FOO-000522","PC100","Besan Pakoda 200gm","Food Items","stitch_eagle_mart_product_catalogue_images.zip","stitch_eagle_mart_product_catalogue_images/premium_supermarket_catalogue_photography_of_boondi_200g_snack_pouch/screen.png","1ccd1219a09dd493e45d72ac63f86ab8663f450e6638ebb96fdcb68b5812c1ca","foo-000522-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","quantity match; token overlap; confidence below threshold"
"cmrnl009z00kytaecqtuvkkil","HOM-000050","PC100","Bucket","Home Care","stitch_eagle_mart_product_catalogue_images.zip","stitch_eagle_mart_product_catalogue_images/premium_supermarket_catalogue_photography_of_a_durable_plastic_bucket/screen.png","b7f02bd85dc6143870f742f1512ec18b357b8dbaf73e7b0d08ffceba39320b37","hom-000050-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","token overlap; confidence below threshold"
